date,ticker,quarter,year,file
19-Jan,AA,Q4,2021,AA Q4 2021.mp3
20-Jan,AAL,Q4,2021,AAL Q4 2021.mp3
26-Jan,ABT,Q4,2021,ABT Q4 2021.mp3
28-Jan,ABTX,Q4,2021,ABTX Q4 2021.mp3
25-Jan,ADM,Q4,2021,ADM Q4 2021.mp3
27-Jan,ADS,Q4,2021,ADS Q4 2021.mp3
27-Jan,AJG,Q4,2021,AJG Q4 2021.mp3
27-Jan,ALK,Q4,2021,ALK Q4 2021.mp3
27-Jan,AMP,Q4,2021,AMP Q4 2021.mp3
1/11/2022,ANF,Q4,2021,ANF Q4 2021.mp3
26-Jan,ANTM,Q4,2021,ANTM Q4 2021.mp3
26-Jan,APH,Q4,2021,APH Q4 2021.mp3
20-Jan,ASB,Q4,2021,ASB Q4 2021.mp3
25-Jan,AXP,Q4,2021,AXP Q4 2021.mp3
27-Jan,AXS,Q4,2021,AXS Q4 2021.mp3
25-Jan,BA,Q4,2021,BA Q4 2021.mp3
26-Jan,BANC,Q4,2021,BANC Q4 2021.mp3
12-Jan,BBCP,Q4,2021,BBCP Q4 2021.mp3
27-Jan,BC,Q4,2021,BC Q4 2021.mp3
20-Jan,BHLB,Q4,2021,BHLB Q4 2021.mp3
20-Jan,BKR,Q4,2021,BKR Q4 2021.mp3
26-Jan,BLFY,Q4,2021,BLFY Q4 2021.mp3
14-Jan,BLK,Q4,2021,BLK Q4 2021.mp3
27-Jan,BLL,Q4,2021,BLL Q4 2021.mp3
28-Jan,BMI,Q4,2021,BMI Q4 2021.mp3
24-Jan,BOH,Q4,2021,BOH Q4 2021.mp3
27-Jan,BPOP,Q4,2021,BPOP Q4 2021.mp3
27-Jan,BRKL,Q4,2021,BRKL Q4 2021.mp3
28-Jan,BSVN,Q4,2021,BSVN Q4 2021.mp3
28-Jan,BY,Q4,2021,BY Q4 2021.mp3
25-Jan,CAC,Q4,2021,CAC Q4 2021.mp3
31-Jan,CACC,Q4,2021,CACC Q4 2021.mp3
27-Jan,CALX,Q4,2021,CALX Q4 2021.mp3
28-Jan,CAT,Q4,2021,CAT Q4 2021.mp3
25-Jan,CATC,Q4,2021,CATC Q4 2021.mp3
27-Jan,CATY,Q4,2021,CATY Q4 2021.mp3
28-Jan,CBTX,Q4,2021,CBTX Q4 2021.mp3
24-Jan,CBU,Q4,2021,CBU Q4 2021.mp3
27-Jan,CCI,Q4,2021,CCI Q4 2021.mp3
28-Jan,CE,Q4,2021,CE Q4 2021.mp3
25-Jan,CFB,Q4,2021,CFB Q4 2021.mp3
27-Jan,CFR,Q4,2021,CFR Q4 2021.mp3
28-Jan,CHTR,Q4,2021,CHTR Q4 2021.mp3
28-Jan,CL,Q4,2021,CL Q4 2021.mp3
27-Jan,CMCSA,Q4,2021,CMCSA Q4 2021.mp3
26-Jan,CNMD,Q4,2021,CNMD Q4 2021.mp3
27-Jan,CNOB,Q4,2021,CNOB Q4 2021.mp3
27-Jan,CNS,Q4,2021,CNS Q4 2021.mp3
19-Jan,CNXC,Q4,2021,CNXC Q4 2021.mp3
28-Jan,CSTR,Q4,2021,CSTR Q4 2021.mp3
